PMID	PMCID	Passages
27081885	undefined	Excess Mortality Attributable to Extreme Heat in New York City, 1997-2013. Extreme heat event excess mortality has been estimated statistically to assess impacts, evaluate heat emergency response, and project climate change risks. We estimated annual excess non-external-cause deaths associated with extreme heat events in New York City (NYC). Extreme heat events were defined as days meeting current National Weather Service forecast criteria for issuing heat advisories in NYC based on observed maximum daily heat index values from LaGuardia Airport. Outcomes were daily non-external-cause death counts for NYC residents from May through September from 1997 to 2013 (n = 337,162). The cumulative relative risk (CRR) of death associated with extreme heat events was estimated in a Poisson time-series model for each year using an unconstrained distributed lag for days 0-3 accommodating over dispersion, and adjusting for within-season trends and day of week. Attributable death counts were computed by year based on individual year CRRs. The pooled CRR per extreme heat event day was 1.11 (95%CI 1.08-1.14). The estimated annual excess non-external-cause deaths attributable to heat waves ranged from -14 to 358, with a median of 121. Point estimates of heat wave-attributable deaths were greater than 0 in all years but one and were correlated with the number of heat wave days (r = 0.81). Average excess non-external-cause deaths associated with extreme heat events were nearly 11-fold greater than hyperthermia deaths. Estimated extreme heat event-associated excess deaths may be a useful indicator of the impact of extreme heat events, but single-year estimates are currently too imprecise to identify short-term changes in risk.
38896416	undefined	The impacts of extreme heat events on non-accidental, cardiovascular, and respiratory mortality: An analysis of 12 Canadian cities from 2000 to 2020. Background: Extreme heat has significant impacts on mortality. In Canada, past research has analyzed the degree to which non-accidental mortality increases during single extreme heat events; however, few studies have considered multiple causes of death and the impacts of extreme heat events on mortality over longer time periods. Data and methods: Daily death counts attributable to non-accidental, cardiovascular, and respiratory causes were retrieved for the 12 most populous cities in Canada from 2000 to 2020. Generalized additive models were applied to quantify daily mortality risks for people aged younger than 65 years and for those aged 65 years and older in each city and for each cause of death. Model results were used to calculate the change in mortality risks and the number of excess deaths attributable to extreme heat during extreme heat events. Results: Elevated mortality risks were observed during extreme heat events in most cities for non-accidental and respiratory causes. The impacts of extreme heat on non-accidental mortality were typically greater for people aged 65 and older than for those aged younger than 65. Significantly higher non-accidental mortality risks were observed during extreme heat events for people aged 65 and older in Montreal, the city of Quebec, Surrey, and Toronto. For cardiovascular and respiratory causes, people aged 65 and older had significantly higher mortality risks during extreme heat events in Montreal, and both Montreal and Toronto, respectively. In the 12 cities, approximately 670 excess non-accidental deaths, 115 excess cardiovascular deaths, and 115 excess respiratory deaths were attributable to extreme heat events during the study period. Mortality risks during extreme heat events were generally higher in cities with larger proportions of renter households and fewer extreme heat events. Interpretation: This study estimates the longer-term impacts of extreme heat events on three mortality outcomes in a set of large Canadian cities. As climate change causes more frequent and intense extreme heat events, and as policy makers aim to reduce the health impacts of heat, it is important to understand how and where extreme heat affects health.
32180181	PMC7728955	The surface temperature of the earth is increasing, with increases in the frequency and intensity of extreme heat events across the globe. Over the next several decades, Canada is predicted to increasingly experience days with temperatures over 30  C, which are strongly associated with heat-related population mortality (Austin et al.). In 2009, an extreme heat event in greater Vancouver caused an estimated 110 deaths (Kosatsky et al.); in 2010, another event in Montreal caused an estimated 106 deaths (Price et al.). Without more effective intervention, the burden of death and severe illness due to extreme heat events in Canada is predicted to rise in the coming years (Cheng et al.).
28877241	PMC5587263	Introduction Extreme summer heat has been consistently associated with excess morbidity and mortality in previous epidemiological studies. Deaths due to hyperthermia (i.e., "heat-stroke"), an external cause, are a major fraction of deaths in U.S. that are attributed to weather events. However, non-external cause deaths also increase during heat waves presumably due to the stress of heat on pre-existing conditions such as diabetes and coronary heart diseases. In a study of 107 U.S. cities, deaths due to cardiovascular, respiratory, and non-cardiorespiratory causes were all shown to be associated with heat waves. Thus, non-external mortality impacts of extreme heat events are likely far larger than those manifested in hyperthermia deaths. In New York City, non-external cause deaths attributable to-extreme heat events have been estimated to be more than 10-fold greater in number than hyperthermia deaths.
28877241	PMC5587263	To the extent that non-external cause deaths are associated with-these extreme heat events, a prediction model can be developed to estimate an increase in non-external deaths given weather variables alone. However, if the syndromic surveillance data for heat-related EMS and/or heat-related ED visits are predictive of non-external cause of deaths above and beyond what available weather data can predict, then these surveillance data would be an additional timely indicator of mortality impacts of heat, which would help the agency contextualize augmented heat alert messages during extreme heat events that are particularly severe in magnitude and last for more than one day. Thus, our objective was to examine the predictive capability of the heat-illness syndromic surveillance data for non-external deaths.
27081884	undefined	Preparing for Extreme Heat Events: Practices in Identifying Mortality. Climate change is increasing the frequency and severity of extreme heat events. These events affect cities in increasingly abrupt and catastrophic ways; yet, many of the deaths caused by exposure to heat have gone unnoticed or are inaccurately identified, resulting in a lack of urgency in addressing this issue. We aim to address this under-identification of deaths from heat waves in order to better assess heat risk. We investigated death records in New York City from 2010 to 2012 to identify characteristics that vary between deaths officially categorized as caused by heat wave exposure (oHDs) and those possibly caused by heat (pHDs). We found that oHDs were more often black and of a younger age than would typically be expected. We also found that there was a lack of evidence to substantiate that an oHD had occurred, using the NYC official criteria. We conclude that deaths from heat waves are not being accurately recorded, leading to a mis-estimation. Training regarding the collection and interpretation of evidence may improve preparedness for heat events.
37689024	PMC10498184	The role of climate change and physical inactivity in exacerbating the prevalence of health problems Increasing evidence suggests that climate change may negatively affect human health. Extreme heat events cause more deaths than all other natural disasters combined, mainly due to adverse cardiovascular events. Since it is estimated that extreme heat events will be more frequent, severe and long-lasting, heat-related morbidity and mortality are expected to increase, placing even more pressure on healthcare systems.
32524507	PMC7351991	Context Heat events can have a major impact on health. In the summer of 2003, Europe experienced unseasonably hot weather which resulted in approximately 70,000 deaths (Robine et al.). Canada is not exempt from heat-related deaths. In 2009, an extreme heat event contributed to 156 excess deaths in the province of British Columbia (Kosatsky), while in Quebec, extreme heat events led to more than 280 excess deaths in 2010 (Bustinza et al.) and an estimated 86 deaths in 2018 (Lebel et al.).
39719756	PMC12043324	Municipality-level thresholds used to define extreme heat events (99th percentile of daily temperature) across Mexico, 1998-2019. Overall and state-level odds ratios and 95% confidence intervals (CI) of the effect of extreme heat (99th percentile maximum temperature of municipality of death) on mortality in Mexico using a time-stratified case-crossover design, 1998-2019. Bayesian resolved estimates of the excess relative risk (top) and signal-to-noise (SNR) ratio (bottom) of the effect of daytime extreme heat events (99th percentile maximum temperature) on all-cause mortality across Mexico, 1998-2019. Results of meta-regression of the predictors of spatial variation in the effect of daytime extreme heat events (99th percentile maximum temperature) on all-cause mortality across Mexico, 1998-2019.
24531122	PMC3945579	1. Introduction Extreme heat events (EHEs) can be defined as summertime weather that is substantially hotter and/or more humid than the normal average for a location at that time of year. The term extreme heat event is often used interchangeably with heat wave. EHEs can have negative impacts on personal health by contributing to heat illnesses such as heat cramps, heat exhaustion, heat stroke, and death. Extreme heat events are consistently related to mortality; cardiovascular, respiratory and other underlying diseases. In 2012, heat caused more fatalities than other severe weather events. 
