PMID	PMCID	Passages
33969074	PMC8058675	 Anterior-posterior chest radiograph and computed tomography chest scan on February 25, 2020 (day 2 of hospitalization). A: Anterior-posterior chest radiograph; B: Computed tomography chest scan. Small amounts of abnormally dense shadows in both lungs, suggesting infectious pneumonia; chronic bronchitis with pulmonary emphysema; old left upper lung lesion; bilateral pleural hypertrophy and calcification; aortic atherosclerosis; and small cyst of the left liver. 
38403628	PMC10894863	Few studies have used CBIR as a diagnostic tool to interpret chest CT scans. Moreover, no dedicated CBIR system has yet been described for the evaluation of obstructive lung diseases. Oosawa et al. and Aisen et al. respectively, developed CBIR systems for various respiratory diseases including emphysema and other disease categories such as infectious diseases and pneumothorax. Although both studies included emphysema, the CBIR systems were not developed for the evaluation of obstructive lung diseases but rather to aid in the differential diagnosis of various respiratory diseases on chest CT. Moreover, the numbers of each disease in the databases and test cases were too small to evaluate the performance of CBIR. In addition, the criteria for assessing the visual similarities between query and retrieved CT scans were subjective and not precisely evaluated. A major challenge of CBIR as a diagnostic tool is identifying relevant and effective features and distance measures that match clinician requirements based on a particular application. Thus, CBIR research has aimed to reduce the semantic gap between image feature representation and human visual understanding to achieve better retrieval accuracy in terms of clinical relevance. In our study, by applying automated quantitative CT measures including emphysema, bronchial wall thickening and pulmonary vessels as features for CBIR, patients in obstructive lung diseases with similar phenotypes can be objectively identified in the database and easily visualized on our CBIR system.
38886251	PMC11329575	The main limit of these results was that they referred to healthy lung and healthy chest wall. Efficient mechanical ventilation requires both the lung and the chest wall to be compliant. A variety of causes put patients in need of mechanical support. These include both infectious and non-infectious triggers that can injure the lung directly or indirectly due to local or systemic inflammation. The most common non-infectious causes (i.e., pancreatitis, aspiration of gastric contents, and severe traumatic injuries with shock and multiple transfusions) impact also the mechanics of the chest wall.
38541070	PMC10971158	1.1. Pneumonia Imaging Modalities Accurate and early detection of pneumonia is crucial for timely medical intervention and improved patient outcomes. Radiological imaging, such as chest X-rays and computed tomography (CT) scans, is widely used for diagnosing pneumonia. The interpretation of these images, however, can be time-consuming and subjective, leading to the need for automated solutions. A chest X-ray showing an area of lung inflammation indicating the presence of pneumonia is shown in Figure 1.
38994638	PMC11240106	Introduction Infection, inflammation, non-infectious granulomatous disease, and lung cancer can all present with pulmonary cystic-solid mass on chest radiographs. But the gradually progressive solitary cystic-solid mass of chest CT scans is highly suggestive of lung cancer. We report a case of a young woman with a progressive cystic-solid lesion in the right upper lobe, mimicking cystic lung cancer. Postoperative pathological examination showed placental transmogrification of the lung (PTL). To our knowledge, few authors had mentioned PTL as one of the differential diagnoses of cystic lung cancer in the previous literatures.
16608056	undefined	Computer analysis of computed tomography scans of the lung: a survey. Current computed tomography (CT) technology allows for near isotropic, submillimeter resolution acquisition of the complete chest in a single breath hold. These thin-slice chest scans have become indispensable in thoracic radiology, but have also substantially increased the data load for radiologists. Automating the analysis of such data is, therefore, a necessity and this has created a rapidly developing research area in medical imaging. This paper presents a review of the literature on computer analysis of the lungs in CT scans and addresses segmentation of various pulmonary structures, registration of chest scans, and applications aimed at detection, classification and quantification of chest abnormalities. In addition, research trends and challenges are identified and directions for future research are discussed.
38932196	PMC11209275	6. Strengths and Limitations This study presents several noteworthy strengths. This research is the longest observation of lung abnormalities described in LUS published for post-COVID-19 follow-up and was conducted prospectively and involved a comparison with the widely accepted chest CT scan. A specific scoring system was utilized, and a sizable number of patients were enrolled in the study. An automated computer program assessed the CT scan, thereby removing any subjective variances in radiological visual interpretation. Additionally, both the operator conducting the ultrasound examination and the radiologist evaluating the CT results were blinded to the results of the corresponding method. 
38928728	PMC11202625	Automatic diagnosis methods often use deep learning algorithms instead of reverse transcription polymerase chain reaction (RT-PCR) to diagnose chest X-ray images. Chest scans are effective in identifying COVID-19 through visual markers such as the ground-glass opacity or hazy dark patches on the lungs, helping to distinguish affected individuals from healthy control individuals. In this context, automated diagnosis systems frequently use chest computed tomography (CT) scans because of their high sensitivity and speed.
21359877	PMC3111859	Automatic definition of the central-chest lymph-node stations Purpose Lung cancer remains the leading cause of cancer death in the United States. Central to the lung-cancer diagnosis and staging process is the assessment of the central-chest lymph nodes. This assessment requires two steps: (1) examination of the lymph-node stations and identification of diagnostically important nodes in a three-dimensional (3D) multidetector computed tomography (MDCT) chest scan; (2) tissue sampling of the identified nodes. We describe a computer-based system for automatically defining the central-chest lymph-node stations in a 3D MDCT chest scan. Methods Automated methods first construct a 3D chest model, consisting of the airway tree, aorta, pulmonary artery, and other anatomical structures. Subsequent automated analysis then defines the 3D regional nodal stations, as specified by the internationally standardized TNM lung-cancer staging system. This analysis involves extracting over 140 pertinent anatomical landmarks from structures contained in the 3D chest model. Next, the physician uses data mining tools within the system to interactively select diagnostically important lymph nodes contained in the regional nodal stations. Results Results from a ground-truth database of unlabeled lymph nodes identified in 32 MDCT scans verify the system's performance. The system automatically defined 3D regional nodal stations that correctly labeled 96% of the database's lymph nodes, with 93% of the stations correctly labeling 100% of their constituent nodes. Conclusions The system accurately defines the regional nodal stations in a given high-resolution 3D MDCT chest scan and eases a physician's burden for analyzing a given MDCT scan for lymph-node station assessment. It also shows potential as an aid for preplanning lung-cancer staging procedures.
33136555	PMC7655154	INTRODUCTION COVID-19 pneumonia can be severe and its evolution unpredictable with a high mortality prevalence of 26% in older inpatients. Computed Tomography (CT) chest scan is the imaging "gold standard" to detect COVID-19 pneumonia, in particular when RT-PCR is negative. In the dramatic context of a pandemic situation, access to CT chest scan can be limited, and repeated CT scans, if an imaging follow-up is required, can be difficult to perform due to costs, invasiveness and infectious risks. In intensive care units, lung ultrasonography (LUS) has proved to be very helpful in managing acute respiratory distress syndrome, (ARDS), and has recently been suggested to manage COVID-19 pneumonia. To date no study has yet assessed the diagnostic performance of LUS in COVID-19 as compared to CT chest scan. Furthermore, this information is of major importance in the event of a second wave, to manage patient flows, or in emerging infectious lung diseases. Here we propose for the first time a practical diagnostic process using bedside LUS with a portable device which can be used for both diagnosis and daily monitoring of patients with COVID-19 pneumonia.
