PMID	PMCID	Passages
34511689	PMC8420483	 End-to-end system: There is no complete real-time system that utilizes the research outcomes in machine learning methods (Jaiswal et al., ). The researchers can build a real-time system using deep learning and machine learning mechanisms to diagnose COVID-19 virus infection. Such a system can help in checking hospitals, airports, markets, schools, and any other area that is considered a host spot those areas which are the primary hotshots for extending the pandemics.
40645997	PMC12254197	As indicated in Table 2, the optimized system has an inference latency of 39 ms for each frame and thus a real-time processing rate of about 25 frames per second (FPS). The end-to-end system latency, encompassing distraction detection and road object recognition modules, was minimized to 57 ms. Also, the model size was compressed by about 45%, while memory usage went down by 46%, thus making the system extremely acceptable for embedded ADAS applications. These findings ascertain that the proposed framework can carry out real-time risk assessment and alert generation on resource-restricted edge devices without degradation in performance or accuracy.
40770019	PMC12328577	Figure 2 illustrates the end-to-end flow of how real-time environmental data is transformed into actionable health risk insights. The process begins with the continuous input of data from sensor networks, meteorological databases, and satellite imagery. These raw data streams are fed into a preprocessing module, where essential tasks such as data fusion, normalization, outlier detection, and feature extraction are performed to ensure consistency and reliability. The cleaned and enriched data is then passed into the deployment engine, which houses the trained machine learning models responsible for generating pollution forecasts and health risk scores. Personalised alerts and dynamic risk maps are two of the many output modules that get these signals. The findings are presented through graphical risk stratification maps and health alerts sent to mobile devices. Air quality responses and proactive public health management are made possible by the framework's fast and accurate data processing.
40645997	PMC12254197	The Fig. 6 depicts the end-to-end system deployment, from the collection of real-time data to the generation of alerts. The complex act of predicting how optimized models, based on Advanced Driver Assistance Systems (ADAS) systems, can run on embedded platforms to deliver low-latency inference, risk assessment, and user-friendly alerts in real-world operating conditions is displayed.
32505812	PMC8667815	Methods Patients All adult inpatients 18 years or older admitted to our large tertiary-care hospital during the study period (November 2017 to April 2019) were potentially eligible for this study. The primary inclusion criterion was risk for AKI within 24 hours (AKI24) >15%. This represented 3-fold enrichment of the baseline risk for AKI24 of 5.2% seen in our retrospective study. This risk was continuously calculated on all eligible hospital inpatients in real time, using our AKI prediction model that was integrated into the Epic EHR system (Epic Systems). The risk was updated throughout the hospital stay based on new information as it entered the EHR. At the first time during the hospitalization that a patient crossed the 15% risk threshold, a "pre-AKI alert" was generated and enrollment occurred (Fig 1). In this study, pre-AKI alerts were delivered to the study team, but not delivered to treatment teams. Risk for AKI was not calculated if a patient's initial hospital Scr level was > 4.0 mg/dL or if they had end-stage kidney disease based on diagnostic codes.
38989469	PMC11233914	Module 5: Data-driven alerts The data-driven alerts module allows for the generation of customized drought warning alerts. Although the module is founded on the functionalities of drought forecasting and monitoring, at its core, it uses the capabilities of 4IR to enhance the accuracy, speed, and personalization of these alerts. Integrating innovative technologies such as AI, BDA, and cloud computing, ensures that stakeholders receive real-time, tailored alerts that can be used for effective drought response and mitigation efforts. The application of AI techniques such as machine learning allows the system to continuously process real-time data from various sources and identify early indicators of drought onset, severity, and end, as well as potential risks during a drought, which can then be used to generate alerts.
32805434	PMC7428440	Intervention LIFT intervention and core content LIFT is initiated early after discharge to maximally attenuate the overall trajectory of distress. Those randomized to the intervention will receive a separate alert linking them to one of 8 study webpages that explains the study arm to which they belong. Thereafter, the LIFT app guides the user through each week's activities using text and visual prompts as relevant to the factor-based condition to which they are randomized. At the end of each week, the LIFT app prompts completion of the PHQ-9 within its user interface; the app platform will generate real-time alerts to PIs prompting calls to patients who endorse the PHQ-9's suicidal ideation item plus a branching logic item about intent.
35864312	PMC9304371	System description Developed from 5 years of historical data collected from three hospitals, TREWS uses an ML approach to learn patterns from time-series data to predict, in real-time, whether a patient is at risk of developing sepsis. In order to account for the heterogeneity of patients with sepsis, the risk prediction method automatically discovers multiple phenotypes of sepsis and learns from provider behavior over time to improve sequential predictions. It also reduces false positive alerts, thus improving precision, by accounting for confounding comorbidities that can cause automated systems to mistakenly identify a patient as having sepsis. Based on provider feedback, the version of TREWS deployed at this hospital waited for an indicator of organ dysfunction prior to alerting. Evaluated on 2 years of data from three community and two academic hospitals (469,419 screened encounters), the system generated 31,591 alerts, 89% of which had an evaluation entered within the system page (53 and 73% of alerts had an evaluation entered within 1 and 3 h, respectively). The system had a sensitivity of 82%, with a corresponding 38% of evaluated alerts confirmed as having sepsis. While we were unable to directly compare performance to the prior system due to lack of alert records, evaluations of similar alert criteria at other hospitals have found that such criteria have low precision, with fewer than 20% of patients with an alert having sepsis. The precision of rule-based CDSS is generally even lower during deployment since there can be multiple false alerts on the same patient.
38800118	PMC11128252	Predictive modeling for fetal well-being is another vital application of AI in the realm of fetal monitoring. ML algorithms are deployed to analyze a broad spectrum of data, encompassing FHR patterns, maternal vital signs, and other clinical parameters. Through these analyses, predictive models are developed, offering insights into the likelihood of fetal distress, preterm birth, or other complications. AI excels in identifying hidden patterns and correlations within extensive datasets, making it particularly adept at identifying early warning signs of potential issues. AI algorithms continually scrutinize fetal and maternal data, searching for deviations from established norms and patterns. When irregularities are detected, the system generates real-time alerts, which serve as critical signals for healthcare providers to initiate immediate actions. These alerts are a valuable resource, enabling prompt interventions like changing the mother's position, administering oxygen, or preparing for an emergency cesarean section when necessary. By offering real-time decision support, AI plays a pivotal role in facilitating rapid responses to critical situations, thus minimizing risks and enhancing the chances of positive outcomes for both the mother and the fetus.
29693611	PMC5981803	The designed middleware/decision system is implemented in Java Drools and monitored by PHP and HTML5 languages, and the service is provided services through the Internet. Users can remotely login into the system via the Internet, browse and query all of the information, including historical sensor data and alert information, real-time sensor data and alert information, expert knowledge, intelligent diagnoses and other services. Regarding the storage of the collected data, a MySQL database was selected, since it is widely used and there is a strong user community behind it. Moreover, the back-end and front-end servers chosen were compatible with such a database.
