PMID	PMCID	Passages
30595807	PMC6304303	Core tip: FOLFOXIRI plus bevacizumab regimen might be a preferred option for the first-line treatment of only right-sided metastatic colorectal cancer (mCRC) regardless of RAS or BRAF status. However, subanalysis of a phase II trial of the triplet plus bevacizumab in patients with RAS mutant mCRC demonstrated that more patients with left-sided tumors achieved good tumor shrinkage and long duration of treatment than did patients with right-sided tumors, leading to higher rate of conversion to surgery in mCRC patients with left-sided tumors. Our data suggest that FOLFOXIRI plus bevacizumab may be a promising treatment for left-sided mCRC associated with RAS mutant tumors.
37654608	PMC10466130	 Cai et al. aimed to understand the clinical benefit of different regiments (double-drug or triple-drug) for left-sided RAS wild-type metastatic colorectal cancer patients. They performed a network meta-analysis by using the published data and real-world data, and concluded that a double-drug regimen plus cetuximab/panitumumab is more effective than double-drug- and triple-drug-based regimens with bevacizumab for left-sided RAS wild-type metastatic colorectal cancer. Besides, they claimed that the double-drug regimen plus cetuximab/panitumumab is safer than triple-drug regimen with bevacizumab via the safety analysis.
38170586	PMC10940852	Introduction Primary tumor location, also commonly referred to as sidedness, is prognostic in all stages of colorectal cancer, with better outcomes for patients whose cancer arises from the left side. Sidedness is also predictive of anti-EGFR therapy benefit in the first-line treatment for patients with RAS/BRAF wild-type (WT) left-sided metastatic colorectal cancer (mCRC) whereas patients with right-sided RAS/BRAF WT mCRC should preferentially receive chemotherapy plus bevacizumab. These findings have been incorporated into treatment guidelines for patients with advanced colorectal cancer and are now the standard of care.
36160059	PMC9466611	"It has long been believed that the sequence of treatment in metastatic colorectal cancer does not matter as long as patients had access to the drugs at some point in their treatment," Dr. Yoshino added. "This trial demonstrates that for RAS wild-type and left-sided metastatic colorectal cancer, the choice of the initial biologic with chemotherapy does matter and that initial treatment with panitumumab with FOLFOX [fluorouracil, leucovorin, oxaliplatin] chemotherapy is superior to initial treatment with bevacizumab plus FOLFOX chemotherapy."
36160059	PMC9466611	The preferred targeted therapy for left-sided RAS wild-type metastatic colorectal cancer, in combination with standard chemotherapy, is panitumumab, not bevacizumab, based on a head-to-head comparison in the phase III PARADIGM trial. Panitumumab plus chemotherapy yielded the longest overall survival ever reported in a prospective phase III trial in first-line metastatic colorectal cancer. Takayuki Yoshino, MD, PhD, of the National Cancer Center Hospital East, Chiba, Japan, presented the data at the Plenary Session of the 2022 ASCO Annual Meeting.
33539032	undefined	FOLFOXIRI plus Bevacizumab Versus FOLFOX plus Panitumumab for Metastatic Left-Sided RAS/BRAF Wild-Type Colorectal Cancer: Which "Side" Are You On? This commentary focuses on the results of the study by Pietrantonio et al., which evaluated the clinical conundrum of triplet versus doublet chemotherapy in combination with targeted therapy for metastatic left-sided RAS/BRAF wild-type colorectal cancer and appears in this issue. Both FOLFOXIRI [fluorouracil, leucovorin, oxaliplatin, and irinotecan] plus bevacizumab and FOLFOX [fluorouracil, leucovorin, and oxaliplatin] plus panitumumab have shown impressive activity in this population; however, the two have not been directly compared. The article by Pietrantonio et al. presents a propensity score-adjusted analysis using information from five previous randomized trials and provides best available evidence comparing these regimens. This commentary will discuss their results and how their findings fit in current treatment paradigms.
35641204	PMC8895744	Mucinous colorectal adenocarcinoma, characterized by more than 50% of extracellular mucin, accounts for 10-20% of patients with colorectal cancer. Patients with mucinous metastatic colorectal cancer have inferior response rates and shorter OS to oxaliplatin/irinotecan-based first-line chemotherapy when compared with patients with nonmucinous colorectal cancer. However, limited data exists on the impact of mucinous histology on anti-EGFR response in RAS/BRAF wild-type metastatic colorectal cancer. We retrospectively reviewed outcomes of patients with RAS/BRAF wild-type left-sided mucinous adenocarcinoma and evaluated their response to anti-EGFR therapy. We focused further on the first-line treatment of this population and compared the impact of first-line bevacizumab-based chemotherapy versus anti-EGFR-based chemotherapy. In addition, comprehensive genomic profiling was used to uncover the mechanism of resistance to anti-EGFR therapy.
38160001	undefined	Treatment Patterns and Prognosis of Palliative Chemotherapy Combined With Targeting Agents in Patients With Unresectable Metastatic Colorectal Cancer: CHOICE, A Multicenter Longitudinal Observational Study. BACKGROUND/AIM: This study investigated the treatment patterns and prognosis of patients with metastatic or unresectable colorectal cancer (mCRC) treated with chemotherapy with targeting agents. PATIENTS AND METHODS: This longitudinal multicenter study included 963 patients with mCRC who were treated in Korea between 2016 and 2020. Treatment patterns and efficacy were compared according to the mutation status and clinical factors. RESULTS: As first-line therapy, most of the patients (83.5%) received FOLFOX plus bevacizumab (35.4%), followed by FOLFIRI plus bevacizumab (18.8%), FOLFIRI plus cetuximab (17.0%), and FOLFOX plus cetuximab (12.3%). Bevacizumab was the most frequent agent (78.8%) combined with chemotherapy in RAS-mutated CRC, while cetuximab (57.2%) in RAS wild-type CRC. Cetuximab was frequently combined with a doublet regimen in patients with left-sided CRC than in those with right-sided CRC (34.4% vs. 16%). As second-line therapy, most patients (63.4%) also received doublet regimens with bevacizumab, and FOLFIRI plus aflibercept was administered in 15.1%. The objective response rate with FOLFIRI plus cetuximab was significantly higher in patients with left-sided CRC than in those with right-sided CRC (59.2% vs. 30.8%, p=0.008) and marginally higher in patients with RAS wild-type CRC than in those with RAS-mutated CRC (55.6% vs. 0.0%, p=0.092). Progression-free survival (PFS) with FOLFOX plus bevacizumab was significantly shorter than that with FOLFIRI plus bevacizumab (p=0.030) in RAS-mutated CRC, whereas there were no significant differences between regimens in RAS wild-type CRC. CONCLUSION: In patients with unresectable metastatic colorectal cancer, doublet chemotherapy with targeting agents is the most common therapy and efficacy depends on the mutation status as well as clinical factors.
35641204	PMC8895744	Methods Patient Population Patients with metastatic colorectal cancer treated at City of Hope Comprehensive Cancer Center (Duarte, CA) between 2013 and 2020 with available next-generation sequencing by a clinical laboratory improvement amendments (CLIA) certified assay were the subject of this study. Patients were subsequently stratified into mucinous and nonmucinous cohorts based on their official pathology review. We did not include mucinous features (<50% mucinous or minor mucinous component) in the study to maintain a more homogenous population. Signet ring cell cancers were included along with the mucinous adenocarcinomas. Patients with left-sided microsatellite stable RAS/BRAF wild-type mucinous adenocarcinoma treated with anti-EGFR therapy were identified and were analyzed for response rate, PFS, and OS across various lines of therapy. To investigate the prognostic versus predictive impact of mucinous cancer on treatment response, we subsequently compared the outcome of left-sided RAS/BRAF wild-type metastatic colorectal cancer to first-line anti-EGFR-based chemotherapy vs first-line bevacizumab-based chemotherapy. This study was approved by the Institutional Review Board (IRB 14361). To interrogate potential mechanisms of resistance to anti-EGFR in mucinous left-sided metastatic colorectal cancer, we compared tumor genomic alterations in mucinous versus nonmucinous left-side RAS/BRAF wild-type cancer. Genomic alterations previously associated with anti-EGFR resistance were analyzed in both subgroups.
34567559	PMC8460104	Presently, FOLFOXIRI combined with bevacizumab has been recommended by NCCN and CSCO guidelines as the standard first-line treatment for patients with advanced colorectal cancer. Therefore, FOLFOXIRI plus bevacizumab was recommended for patients with metastatic colorectal cancer as the first-line palliative treatment, followed by sequential maintenance and the reintroduction of FOLFOXIRI plus bevacizumab after disease progression. For metastatic left-sided colorectal cancer patients with wild-type RAS/BRAF, NCCN recommends anti-epidermal growth factor receptor (EGFR) monoclonal antibody combined with FOLFOX/FOLFIRI chemotherapy as the first-line treatment. However, clinical evidence on whether FOLFOXIRI combined with anti-EGFR can be used as a first-line palliative treatment strategy for this population of patients is insufficient.
