PMID	PMCID	Passages
39720063	PMC11667626	The implementation of AI in suicide prevention within resource-limited settings presents several challenges. Firstly, infrastructure limitations, such as unreliable internet access and limited computing power, hinder the deployment of advanced AI technologies. Developing mobile-based AI platforms capable of operating offline can help overcome these barriers in remote areas.
40729687	PMC12344384	Navigating the Digital Landscape The Thrive by Five app was originally envisioned as the primary means of content dissemination for the program; however, concerns regarding the availability of digital technologies as well as electricity and internet access were noted to impact R&D processes across all cases. Specifically, unreliable internet connections frequently resulted in disruptions during routine project planning and management meetings with in-country partners, as well as co-design and evaluation activities with stakeholders. Due to budgetary limitations and safety concerns related to conducting field research in some countries, the sample of participants available for research activities was restricted to those who could access electricity, the internet, and a smart device or computer, which often resulted in unrepresentative samples comprised primarily of individuals who lived in urban settings and who were more highly educated. This was reflected in participant demographic data collected by the in-country partner or via the research team's evaluation survey.
41291643	PMC12648810	Themes and codes generated from thematic analysis Theme	Code	 	Digital competency gaps	Lack of training in AI, EHR systems	 	Limited access to digital tools	Shortage of digital imaging, unreliable internet	 	Barriers to digital adoption	Faculty resistance, policy gaps, financial constraints	 	Stakeholder support for digital transformation	Demand for modernized training, preference for AI and teledentistry	 	 Source: Authors' work
38659851	PMC11042210	In addition to aliasing, clinical color-Doppler images sometimes include sizeable areas of unreliable data caused by insufficient signal power, device-related ultrasound reflections, etc. These artifacts are more challenging to remedy than aliasing because they are not governed by a simple phase-wrapping rule. We have shown that AI-VFM seamlessly tolerates large holes in the input data, using the hidden information about flow physics to restore the flow inside these holes. Therefore, AI-VFM offers a new method to analyze artifact-ridden images as long as the unreliable pixels in each image can be labeled and excluded from training. Future efforts should focus on the automation of unreliable pixel labeling and the design of data loss terms that tolerate such pixels, similar to the -insensitive data loss term used in this work.
37340437	PMC10283292	Barriers to online learning The most frequently cited barriers to online learning by respondents in our study were the cost of the internet, a lack of institutional support, unreliable or no internet, and limited access to devices (laptops and smartphones). This finding is supported by research that identified unreliable internet as one of the major barriers to online learning. Other studies cited the cost of the internet and lack of access to laptops and smartphones as the most frequent barriers to e-learning. It can be suggested that investment in affordable internet services is one way of easing the challenges associated with online learning, in addition to the provision of soft loan schemes for gadgets such as laptops and smartphones for students.
41118658	PMC12539798	None of the studies included used advanced data storage and sharing systems (such as edge computing) that can improve security and enable the offline functionalities that are important in settings with limited or unreliable internet access, such as in home care or remote regions. While data security remains a major concern in the Internet of Medical Things, AI offers promising support. As Messinis et al stated, machine and deep learning techniques can enhance cybersecurity. However, in the studies reviewed, AI was primarily used for data analysis in research contexts rather than being fully integrated into clinical practice.
35714140	PMC9258839	The portability of the device The device was packed into a transport case (S2 Fig), which was robust for travelling, but it would not be practical for more extensive surveys requiring multiple units. The setup and operation of the device required mains power which is not always available in field settings. Furthermore, all field settings, including laboratories, were subject to frequent power interruptions during a typical day. Although the outages may last only seconds or minutes, the power interruptions also interrupted the scanning process and resulted in the loss of data for the current scan. While some other WSI approaches require cloud-based operations, access to the internet was very limited and unreliable in the remote endemic areas where our prototype systems were evaluated. Potential solutions for this first challenge would be to reduce the size of the WSI scanner to enable more scanners per equipment case and to integrate or include an uninterruptible power supply (UPS) with battery backup with the system. Additionally, the solution must operate completely independent of a connection to the internet. Notably, with the current state of internet infrastructure, mHealth/telehealth solutions relying on the internet for image transfer or image analysis by cloud-based AI models cannot be relied on. The use of fieldable embedded computers like the Nvidia AGX enables powerful AI models to be deployed in the field and generate results in a timely manner without dependence on internet infrastructure.
41457075	PMC12753670	A major obstacle is the lack of infrastructure, including unreliable internet, limited access to digital devices, and underfunded schools. Among the 23 participants interviewed, 15 emphasized that basic facilities were inadequate, making AI-based learning tools inaccessible. The Digital Divide Theory explains that disparities in access reinforce existing socio-economic disadvantages. Without foundational investment, AI will likely remain an urban phenomenon.
34556253	PMC8452267	Despite the overall success of teledermatology, its expansion exacerbated existing disparities. For instance, some patients with skin conditions experienced delays in medication adjustment, which resulted in side effects, because they lived in rural areas with unreliable Internet connection or were more elderly with limited Internet literacy.
33494754	PMC7829648	What would active and safe engagement involve? Clearly it should not involve in-person events where social distancing requirements cannot not be maintained. As community engagement often involves representatives rather than crowds, many interactions could and should be conducted online or remotely. As long as public health considerations demand, in-person community engagement activities should only be proposed if there are serious obstacles to remote communication (such as limited access to the appropriate devices or an unreliable internet infrastructure), and even then, researchers ought to explore ways of overcoming these barriers.
