PMID	PMCID	Passages
25204018	PMC4125693	Methods Chilean health system and socioeconomic strata The Chilean health system has two sectors, public and private. The public sector covers the rural and urban poor population (low, middle-low socioeconomic strata with around 40% of Amerindian mixture). The private sector covers mostly the upper, middle-upper class and the high income population (high and middle-high socioeconomic strata, with at most 20% of Amerindian mixture).
40101291	PMC12139538	Socioeconomic strata, land cover, and hotspots. We found that socioeconomic strata are related to the presence of HHs and RHHs, similar to cities in Mexico, and also have been related to dengue outbreaks. People in low socioeconomic strata may face greater risks than those living in higher strata because of a combination of factors, such as limited access to resources, inadequate infrastructure, and higher population densities. Poor waste management, inadequate water storage practices, and a lack of effective mosquito control measures create a more favorable environment for the breeding and survival of vectors. These factors highlight the necessity for targeted public health interventions that address the specific vulnerabilities of these communities.
40211821	PMC12147061	Introduction The global obesity epidemic continues to be one of the most pressing public health challenges of our time, affecting millions of individuals across all age groups and socioeconomic strata (Koliaki, Dalamaga, and Liatis ). As policymakers and health professionals grapple with this complex issue, various interventions have been proposed and implemented to curb the rising tide of obesity (Bagnall et al. ; Temple ).
38929859	PMC11204981	5. Discussion Obesity is a global public health issue. In Colombia, 56% of the population is overweight and 19% is obese, affecting approximately 10 million people, with a significantly higher prevalence in lower socioeconomic strata. Given the strong association of obesity with cardiovascular risk, various strategies have been developed to address this increasingly prevalent condition. These strategies include lifestyle changes, psychotherapy, pharmacological interventions, and bariatric surgery.
32914289	PMC7943642	Accordingly, there remains a continued need for targeting acquisition of verbal skills for the subgroup of individuals with ASD who have not yet attained the milestone of verbal communcation by age five, as well as development of alternative communication strategies for these individuals across socioeconomic strata. Prior work highlights the importance of augmentative and alternative communication (AAC) strategies for individuals with ASD, particularly those who are minimally verbal. As in the present work, there is evidence to suggest that AAC use improves into adolescence and adulthood for individuals with ASD. Continued examination of barriers to implementation of such intervention strategies across the life course will be vital in future studies.
29024995	PMC6380297	Our findings are important as, based on the inverse equity hypothesis and Tudor Hart's inverse care law, we expect interventions - even 'simple' behavioural interventions - to reach higher socioeconomic groups better and to only benefit lower strata once higher strata reach a plateau beyond which further improvements are difficult to achieve. The reasons for this include inequitable intervention availability, elite capture at the community level when services and interventions are made available and a slower diffusion of behaviour change among lower socioeconomic strata. This is also reflected in, for example, substantial inequalities in uptake of low-cost interventions such as oral rehydration therapy for children with diarrhoea, with lower uptake among lower socioeconomic groups in many low- and middle-income countries. There are indications that community-based interventions can reinforce existing social hierarchies. Conversely, our findings show that lower and higher socioeconomic strata can experience survival and behavioural improvements in tandem.
22607363	PMC3490889	Background There are a number of effective strategies available to prevent dental caries, which include the use of fluorides including community fluoridation schemes (water, salt and milk), fluoridated toothpastes, and other fluoride delivery systems, such as tablets, drops, and varnishes. The US Surgeon General has reported that community water fluoridation is an effective, safe, and ideal public health activity that benefits individuals of all ages across all socioeconomic strata Indeed, the Centers for Disease Control and Prevention has listed community water fluoridation as one of the top ten public health achievements in the past century.
39234081	PMC11373478	In the present study, we assess health inequalities in Costa Rica, by reviewing existent literature on health disparities arising from social determinants, evaluating the impact of "equity stratifiers" on health status, such as, educational level, urbanicity, income, wealth and other social determinants of health, such as, access to healthcare and health behaviors. This systematic review seeks to provide a comprehensive understanding of the state of health inequalities research and contribute to the broader discourse on the role of social determinants of health in the country. Here, the terms "graded relationship" or "social gradient" refer to the observed phenomenon wherein individuals situated at lower socioeconomic strata experience poorer health outcomes compared to those at higher socioeconomic levels. A reverse social gradient occurs when individuals in lower socioeconomic strata experience better health outcomes compared to those in higher socioeconomic levels.
33674459	PMC7934198	In conclusion, our study provides evidence of demographic and socioeconomic inequalities in COVID-19 mortality in terms of age groups, sex, ethnicity, type of health insurance regimen and socioeconomic strata. Confirmed COVID-19 cases who are male, over 60 years old, indigenous, holding a government subsidised health insurance, and those living in areas classified in the lower socioeconomic strata have a higher risk of dying faster from COVID-19. Our results provide evidence to help support the prioritisation of public health interventions for COVID-19 prevention and detection in Colombia such as testing, contact tracing and vaccination directed to the more vulnerable groups according to the unequal mortality risks.
33708806	PMC7940205	We found SDI, but also two of its components: Quality and available space in the home and Health care access as elements of general concern for public health interventions and nutritional conditions, which may help reduce health inequalities in the Mexican population, in particular in large metropolitan areas such as Mexico City. So, we presented SDI as a feasible and a complementary instrument to collect information about socioeconomic strata, Mexican neighborhoods, and their relation to cardiovascular health at the population level with public health policy design in mind.
