PMID	PMCID	Passages
41565796	PMC12894855	Decision support outputs A key contribution of the framework lies in its ability to generate decision-support outputs that translate analytical findings into actionable insights for urban planners and policymakers. Beyond risk quantification, the framework integrates modeling results into interactive dashboards and ranking tools that enable scenario exploration, resource allocation, and prioritization of interventions. These outputs bridge the gap between technical assessments and practical policy application. The decision-support dashboard provides real-time visualization of composite risk indices, hotspot clusters, and sensor-derived early warnings. By integrating simulation results with dynamic user interfaces, policymakers can assess the impact of interventions under varying assumptions such as budget constraints, adoption rates, or hazard intensities. Importantly, the dashboard highlights trade-offs, allowing decision-makers to balance competing priorities across cost, equity, and resilience.
40679473	PMC12278475	Objective 9: develop a microsimulation model to evaluate health and economic impacts of policies and provide a practical decision support dashboard for policymakers for all European countries We will expand the Health-GPS policy microsimulation tool used in Objective 1 to explore the economic and health impacts of obesity-related policies across various European countries. Health-GPS relies on complex datasets as inputs to inform country-specific demographic trends, along with individual exposures to modifiable and non-modifiable risk factors associated with obesity and other related NCDs. Using these data and simulations of populations over time, Health-GPS estimates the health and economic impacts of policies aimed at reducing exposure to given (e.g. dietary) risk factors, and the resulting influence on the incidence and outcomes of NCDs. Policy scenarios, involving a specific policy design and estimates of intervention impacts, will be developed for national-level policy recommendations taking equity into consideration as well as risk of misuse by decision-makers. Each policy scenario will be simulated in comparison to a baseline, to estimate the expected impacts of interventions. Country-specific simulated results will be displayed on an interactive dashboard, allowing policymakers, other relevant stakeholders, and the public to explore the impact of policy scenarios in relevant settings and under alternative sets of assumptions.
39394566	PMC11475107	The possibility of having a dashboard in the future that allows policymakers to interact with the model and also considers the costs required for implementing different prevention scenarios could be a useful tool for deciding where to allocate resources.
38925695	PMC11202649	We also developed an interactive dashboard to facilitate easy interaction with the model and allow for simulations of various parameters and scenarios. This tool serves as a potential resource for healthcare professionals and strategists to explore the impact of different interventions and regional healthcare systems on the burden of ATAAD.
37509861	PMC10379420	The Python module Dash was used to create an interactive dashboard (Figure 7) for the frequency module. An interactive dashboard was developed using the React framework. The focus of this prototype was on interactivity, allowing users to modify date ranges and explore specific food groups. The interactivity of the dashboard can be advantageous for both government officials and the general public, enabling them to gain a broader perspective on potential foodborne illness outbreaks.
40114587	PMC11926576	The creation of interactive digital dashboards that consolidate various data streams into a single platform can enhance the visualisation and interpretation of M&E data. These dashboards can be utilised by healthcare providers, policymakers, and researchers to track progress, identify trends, and make informed decisions. Features such as geospatial mapping and real-time data updates provide a comprehensive overview of intervention impacts, with the latter ensuring that decision-makers have access to the most up-to-date information, which is crucial for responding to rapidly changing health scenarios. Interactive dashboards also facilitate the dissemination of information to a wider audience, promoting transparency and accountability in health programmes.
41494762	PMC12820879	Data visualisation Interactive dashboards and visualisation tools enabled exploration through graphs, heat maps and charts. Predictive analytics Predictive models were embedded on each dashboard that can be used to forecast future health outcomes, such as disease outbreaks or population health trends, facilitating proactive interventions.
36550316	PMC10040187	SARS-CoV-2 Africa Dashboard for real-time COVID-19 information The SARS-CoV-2 Africa dashboard is an interactive tool that enables visualization of SARS-CoV-2 genomic information in African countries. The customizable app allows users to visualize the number of sequences deposited in each country, and the variants circulating over time. Our dashboard enables near real-time exploration of public data that can inform policymakers, healthcare professionals and the public about the ongoing pandemic.
35738153	PMC9192122	Throughout the development of our model and interactive app, we incorporated suggestions from policymakers on questions that most urgently needed answers, and on NPIs under consideration and thought feasible to implement. This co-development allowed the investigation of scenarios appropriate to the local context that addressed pressing policy concerns. The app (boydorr.gla.ac.uk/BGD_Covid-19/CEEDS), which allows a user-friendly exploration and visualisation of how scenarios impact health outcomes and costs, proved to be an effective tool to support discussions with policymakers, as the timing and combination of interventions, along with uncertainties in parameters, including compliance, could be explored on the fly. This proved to be crucial in understanding the economic and health trade-offs involved, as well as helping to demystify the model itself and the ensuing epidemic.
34053258	PMC8165601	Optimizing time-limited non-pharmaceutical interventions for COVID-19 outbreak control Retrospective analyses of the non-pharmaceutical interventions (NPIs) used to combat the ongoing COVID-19 outbreak have highlighted the potential of optimizing interventions. These optimal interventions allow policymakers to manage NPIs to minimize the epidemiological and human health impacts of both COVID-19 and the intervention itself. Here, we use a susceptible-infectious-recovered (SIR) mathematical model to explore the feasibility of optimizing the duration, magnitude and trigger point of five different NPI scenarios to minimize the peak prevalence or the attack rate of a simulated UK COVID-19 outbreak. An optimal parameter space to minimize the peak prevalence or the attack rate was identified for each intervention scenario, with each scenario differing with regard to how reductions to transmission were modelled. However, we show that these optimal interventions are fragile, sensitive to epidemiological uncertainty and prone to implementation error. We highlight the use of robust, but suboptimal interventions as an alternative, with these interventions capable of mitigating the peak prevalence or the attack rate over a broader, more achievable parameter space, but being less efficacious than theoretically optimal interventions. This work provides an illustrative example of the concept of intervention optimization across a range of different NPI strategies. This article is part of the theme issue 'Modelling that shaped the early COVID-19 pandemic response in the UK'.
