PMID	PMCID	Passages
29730602	PMC6580779	Last but not the least, DLRE showed remarkable robustness in this multicentre study. When three randomly selected combinations of hospitals were used to build training cohorts, no significant variation was found for classifying liver fibrosis in training and validation cohorts using DLRE, and the diagnostic accuracy (table 4) matched the overall diagnostic accuracy of DLRE (table 2). These findings proved DLRE to be robust and reliable, which was valuable of clinical generalisation in China. Utilising the data acquired from limited number of hospitals to train and establish the DLRE model is likely to be sufficient in applying it for assessing liver fibrosis stages in other hospitals with a consistent accuracy.
34834524	PMC8621146	3.7. Effect of Sample Size of the Training Set and AI Model on the Accuracy of Facial Recognition Table 4 lists the range of FRI, sample sizes of the training set, AI models, as well as relative median and range of diagnostic accuracy by facial recognition. As for the sample size of the training set, which ranged from 30 to 3465 in the eligible studies, it was shown that the diagnostic accuracy of diseases with FRI higher than 8 was greater than 0.95, even if the sample size of the training set was lower than 100, with the minimum sample size being 30. Diseases with FRI ranging from 6 to 8 showed relatively low diagnostic accuracy when the sample size of the training set was lower than 100, with the minimum sample size being 49, and the accuracy increased with the sample size. The minimum training size for diseases with FRI lower than 6 was 60, and a sample size greater than 1000 significantly improved the diagnostic accuracy of facial recognition, indicating that a modest increase in the sample size of the training set played an important role in improving the diagnostic accuracy of diseases with low FRI.
40392801	PMC12091740	However, alongside these advancements, substantial ethical and fairness challenges have emerged. Biases embedded within training data can lead to skewed AI models, resulting in disparities in healthcare outcomes across different demographic groups. For instance, an algorithm used in US hospitals was biased against black patients in resource allocation, and dermatological AI showed lower diagnostic accuracy for conditions like melanoma in darker-skinned individuals due to training primarily on fair-skinned images. Similarly, AI tools for diagnosing depression have faced challenges when applied across different linguistic and cultural backgrounds because they were primarily trained on English-speaking, Western populations, leading to potential misdiagnoses in non-Western patients. AI models trained predominantly on data from specific populations have exhibited lower diagnostic accuracy for underrepresented groups, exacerbating existing health disparities. These examples highlight the urgent need for diverse datasets and transparent AI systems to ensure fairness and equity in healthcare AI applications.
39224351	PMC11367493	In this study, training and validation of a 1D_ResNet18 model were performed using frequency domain data collected from different measurement points, using the same model configurations as discussed in Section 4.1, including the activation function, loss function, and optimization algorithm. The training and validation loss trends, as well as the diagnostic accuracy across measurement points at each iteration, are shown in Fig. 13. In particular, Figs. 13.1 and 13.2 show that the losses and diagnostic accuracies for each measurement point began to stabilize after the first three iterations of the training process. The loss values remained consistently low throughout the training period, with only minor fluctuations at certain points, particularly around the 16th iteration. These fluctuations during the 16th iteration, observed in the diagnostic accuracy of both the training and validation sets (Figs. 13.3 and 13.4), are likely due to the behavior of the optimization algorithm as it searches for the global optimum of the model.
33244018	PMC7691991	We aimed to establish AI analytical models with high diagnostic accuracy for DLBCL. Because we anticipated a potential influence of diagnostic accuracy by sample variations across hospitals (Fig. 2) and expected to obtain a limited amount of human samples from each hospital, we thought that it would be realistic to establish single hospital-based AI models with small datasets to determine whether our AI models could reach high diagnostic accuracy. Initially, hematoxylin and eosin (H&E)-stained formalin-fixed paraffin-embedded tissue sections prepared from lymph nodes of DLBCL patients from two unrelated hospitals were correctly labeled by pathology experts and then photographed at x400 original magnification to produce pathologic images for analysis. Each slide with diagnosis was further confirmed by at least one pathologist with adequate experience. In addition, the diagnosis was consistent with the results from other tests such as immunohistochemistry and molecular biology as well as clinical symptoms. Using the samples from each of these two hospitals, hospital-specific AI models were established by training 80% of total samples with 10% of them used for model validation and the remaining 10% of the samples for testing diagnostic accuracy of the established model. From the first hospital (hospital A), 500 DLBCL and 505 non-DLBCL human samples (one pathological image from one patient) were photographed and used. Using combined 17 CNNs (Fig. 1), we tested our AI model for precision by computational reading of randomly mixed pathologic images from hospital A to determine the percentage of correctly recognizing DLBCL images. Compared with the use of individual CNN, which showed an average percentage of diagnostic accuracy in the three hospitals ranging from 87 to 96% (Table 1), diagnostic accuracy of our AI models reached 100% (Fig. 3a). To confirm the high accuracy of our deep-learning algorithms, we established a AI model for reading pathologic images of DLBCL (number of cases: 204) and non-DLBCL (number of cases: 198) from another hospital (hospital C), where the pathologic images were also collected by photographing (one pathological image from one patient). We found that the diagnostic accuracy of this AI model also reached 100% (Fig. 3a).
29730602	PMC6580779	The diagnostic accuracy of DLRE improved as acquiring more 2D-SWE images from each patient. There was no significant variation of the DLRE performance if enough 2D-SWE images were applied to train it, no matter training images came from which hospitals.
39008512	PMC11249217	Training dataset Evaluation of model performance To accurately compare the effect of input data on diagnostic accuracy, the DL model developed here must itself have satisfactory diagnostic accuracy. Further, to validate this accuracy, a verified open dataset is required. The 2016 PhysioNet/CinC dataset is a valuable resource for developing and evaluating heart-sound diagnosis models. It contains a large number of heart sound recordings, which were obtained from different sources, including public databases and hospitals; hence, it provides a diverse set of data that can be used to train and test models to distinguish between binary classes (here, Normal vs. Abnormal).
8289535	undefined	Limits to diagnostic accuracy. This paper explores the limits to computer-aided medical diagnosis. A specific application area (the diagnosis of abdominal pain of suspected gynaecological origin) is chosen, and the factors limiting the accuracy of computer programs are investigated by means of a simulation model which has been shown previously to generate realistic cases. The model is used to generate arbitrarily large training and test sets. The results suggest that, while statistical dependencies exist amongst symptoms and signs, there is little to be gained by taking interactions into account. However, failure to record all possible observations does limit diagnostic accuracy significantly. The results suggest that near-optimal diagnostic accuracy (75-80%) can be obtained with a training set size of 10(5) cases simply by applying Bayes' theorem with the usual assumption of conditional independence.
22762505	PMC3502327	The diagnostic accuracies in the training set, after the four individual models had been integrated into a single model, improved to 69.3% and 63.5% in the male and female patient groups, respectively; however, when the model was applied to the test set, the accuracies decreased to 61.4% in the male patients and 52.2% in the female patients. The poor individual performance for voice was blamed, which led us to test an alternative integrated model by assigning a weight of half for voice. Although the new model showed almost the same diagnostic accuracy for the training set (68.9% in male patients and 62.3% in female patients), it clearly produced a greater accuracy in the test set (64.0% in male patients and 55.2% in female patients).
39580595	PMC11585630	As shown in Table 2, the diagnostic accuracy in experiments under the same working conditions exceeded 99%. For instance, under the 0.5 kW condition, the MADA model achieved a diagnostic accuracy of 99.52%. When trained under one load condition (0 kW, 0.5 kW, 1 kW, and 1.5 kW) and tested under the others, the fault diagnostic accuracy of all transfer paths was above 97%. These overall diagnostic results demonstrate that the variable load diagnostic transfer accuracy is very close to that of models trained from scratch, proving that the MADA model can effectively meet the requirements for diagnosing faults in motor bearings under variable loads.
