PMID	PMCID	Sentences
38496570	PMC10942533	This review identifies and analyzes a variety of studies related to finding the optimal vaccine allocation given a limited supply.
40629157	PMC12238572	Moreover, it can guide vaccine prioritization by identifying individuals with robust hybrid immunity and distinguishing those who require additional booster doses, thereby optimizing vaccine allocation, particularly in situations of limited vaccine supply.
38988830	PMC11233876	This review identifies and analyzes a variety of studies related to finding the optimal vaccine allocation given a limited supply.
40594174	PMC12218410	Thirdly, the optimization problem of vaccine allocation under limited vaccine supply is formulated, and the optimal vaccine allocation is obtained through numerical simulations.
34417121	PMC8294600	We highlight ways in which models continue to provide important insights, including (1) calculating the herd immunity threshold and evaluating its limitations; (2) verifying that nascent vaccines can prevent severe disease, infection, and transmission but may be less efficacious against VoC; (3) determining optimal vaccine allocation strategies under efficacy and supply constraints; and (4) determining that VoC are more transmissible and lethal than previously circulating strains, and that immune escape may jeopardize vaccine-induced herd immunity.
34417121	PMC8294600	In this review, we discuss the role of models in understanding: herd protection and its limitations; the role of vaccines in preventing severe disease, infection, and transmission and their lowered efficaciousness against VoC; how optimal vaccine allocation strategies vary depending on vaccine supply and efficacy; the extent to which VoC are more transmissible and lethal compared with previously circulating strains; immune escape may undermine vaccine efforts to reach herd immunity; and how we can anticipate future stages of COVID-19 (and other emerging infectious diseases) through forecasts and scenario projections.
38370625	PMC10871372	In the context of an existing, but limited, vaccine program, an open question in optimal vaccine allocations is how to most effectively use an expanding vaccine supply.
39359394	PMC11443550	In the context of an existing, but limited, vaccine program, an open question in optimal vaccine allocations is how to most effectively use an expanding vaccine supply.
34696352	PMC8539635	It is similarly challenging to optimize vaccine allocation to different sectors of the population, particularly when vaccine supply is limited.
41148638	PMC12564786	Knight et al. modeled the optimal vaccine allocation strategy between two transmission networks to maximize the limited vaccine supply among GBMSM.
