PMID	PMCID	Sentences
33038201	undefined	Hospital readmission, return to operating room for treatment and revision surgery (all within 30 days) were included as proxy measures of disability to assess the predictive validity of each ODI item.
41487303	undefined	Methods: Following PRISMA 2020 guidelines, we conducted a systematic review and meta-analysis of peer-reviewed studies developing or validating AI/ML models for predicting acute exacerbations of COPD (AECOPD) or hospital readmissions.
37583963	PMC10423988	Machine learning prediction models and AI might be a reliable method to predict the 3-month hospital readmission rate of COPD patients due to exacerbations.
33483463	PMC7822935	Despite the importance of dental health to one's general health, few studies examine dental-related hospitalization and there is a paucity of research related to predictive models and AI tools for hospital readmission following dent-related procedures and conditions.
41085337	PMC12782558	By leveraging AI, real-time monitoring can help predict HF exacerbations, optimize treatment plans, and reduce hospital readmissions.
41107871	PMC12535035	In recent years, Artificial Intelligence (AI) has become an indispensable support tool in healthcare, such as detecting breast cancer from mammograms with accuracy comparable to or exceeding radiologists, and predicting hospital readmission risks to assist treatment planning.
38125502	PMC10731083	In order to mitigate COVID-19, recent works have shown the potential of artificial intelligence (AI) predictive models to improve the quality and accuracy of diagnoses, mortality, treatment, risk stratification, hospital readmission risk, prognosis, drug repurposing and development, management and reducing costs, or in the implementation of a personalised precision medicine to address COVID-19 disease.
41085337	PMC12782558	By analyzing large datasets collected from wearable and implantable devices, AI-driven algorithms can predict adverse outcomes, optimize treatment plans, and reduce hospital readmissions.
39787599	PMC11757985	EHRs in the future will increasingly incorporate AI and machine learning algorithms to analyze health data in real time, predicting patient risks (such as for chronic diseases or hospital readmissions) and suggesting personalized prevention and treatment plans.
40372995	PMC12080793	Organizations use AI applications and tools to provide a better workflow management, overcome data availability and integration and improve organizational improvement of different medical departments such as cancer imaging and diagnosis, cardiovascular disease prediction and management, dermatological lesions recognition, or infection detection Moreover, in his prior studies, Saab et al. described the use of ML for general therapeutic purposes such as the early prediction of all-cause clinical deterioration and the classification of adverse-event related 30-day hospital readmissions.
