PMID	PMCID	Sentences
36472867	PMC10005467	Interpretations of the chest computed tomography scans were based on a computer-aided diagnosis system for lung nodules (Visia , MeVis Medical Solutions AG, Bremen, Germany), including semi-automated segmentation and measurement of the nodules (the diameter of the nodules was automatically measured by automatic segmentation).
38390159	PMC10881372	Generally, the confusion leads towards more extensive examination like taking blood samples to find the infection and identify germs, chest and back x-rays locating the inflammation in the lungs, measurement of oxygen steam level in blood using a pulse oximeter, mucus sampling during deep cough to find the infectious bacteria, CT scans, Arterial blood gas (ABG) test, pleural fluid culture (PFC), and bronchoscopy.
32577412	PMC7298588	The models developed based on these are normally used for anomaly detection with the use of algorithm approximating a known output with a higher accuracy from a labeled data set, for example: Electrocardiogram interpretation by the automated machine or detection of a lung nodule from a chest X ray or a CT scan based on pattern recognition.
35891622	PMC9131135	Specific examples include development of automated tools for interpreting computed tomography scans, chest radiographs and lung ultrasound diagnostics, although clinical trials to establish the benefits and safety of image analysis in clinical practice are awaited.
39294105	PMC12324150	A head and chest computerized tomography (CT) scan revealed generalized bronchial thickening and right middle ventral lung lobe consolidation (suggestive of inflammation, e.g., infectious bronchopneumonia) and fluid/soft tissue debris in the trachea (possibly respiratory debris/phlegm or mucosal thickening/tracheitis).
25426446	PMC4226142	The American Thoracic Society (ATS) and the Infectious Diseases Society of America (IDSA) diagnostic criteria for NTM pulmonary disease include (1) clinical: presence of clinical manifestations of pulmonary involvement, presence of underlying medical condition such as cancer or tuberculosis and appropriate exclusion of other diagnoses, (2) radiological: presence of pulmonary infiltration, nodular lung lesions, cavity formation or multifocal bronchiectasis on chest X-ray or high-resolution CAT scan, and (3) bacteriological: >=2 positive cultures from expectorated sputum or >=1 positive BAL or bronchial wash cultures or transbronchial or open lung biopsy showing histological evidence of granulomatous inflammation or AFB and positive NTM cultures or biopsy showing mycobacterial histological features and positive cultures for NTM from >=1 sputum or bronchial washings.
33934177	PMC8088310	We performed an analysis based on clinically interpretable severity metrics computed from automated segmentation of abnormal regions in a chest CT scan, as well as using a deep learning system.
34300099	PMC8303245	Further, ML can identify molecular markers for cancer treatments, evaluate postoperative surgical outcomes, and supply an automated interpretation of an ECG or an automated detection of a lung nodule in a chest X-ray.
18423313	undefined	CONCLUSIONS: This study suggests that the interpretation of chest radiographs for lung nodules can be improved using an automated CAD nodule detection system.
32947271	PMC9364387	Similarly, Qure.ai have adapted their automated chest X-ray interpretation system originally meant for pulmonary tuberculosis screening, to monitor COVID-19 progression in the lungs.
