PMID	PMCID	Sentences
41219368	PMC12606255	Experimental results demonstrated that when applied to five typical machine learning models, the PPPM method, by optimizing sensor measurement points, significantly reduced data acquisition costs and computational expenses for model training (with an average training time reduction of 18.522%) while maintaining or even enhancing diagnostic accuracy, thereby effectively improving system real-time performance and generalization capability.
37510062	PMC10378683	It has been widely reported that diagnostic accuracy of models may decrease when applied to external datasets originating from sites that did not contribute to the training dataset.
41420667	PMC12830522	Consequently, while the model achieved high performance on our internal test set, it may be susceptible to overfitting and might not maintain its diagnostic accuracy when applied to populations with different demographics or to images acquired from institutions using divergent CT scanners, imaging protocols, or reconstruction kernels.
39452568	PMC11508556	A key finding is that their DL model maintained high diagnostic accuracy even when trained and tested on images from different OCT scanners, highlighting its robustness across various imaging devices.
40189494	PMC11974213	In Test_2, which comprised data from different hospitals, the model maintained consistent diagnostic accuracy with an F1 Score of 0.720, indicating robust generalization across diverse datasets.
34817732	PMC8613326	Our model might maintain diagnostic consistency, help inexperienced physicians, improve the diagnostic accuracy of general radiologists and radiology residents, reduce the workload of academic radiologists and bridge the diagnostic gap between novice and expert radiologists and among different hospitals.
33224631	PMC7674004	In order to study the contribution of different features to the model and to improve the diagnostic accuracy, feature selection and hyperparameter tuning were applied on the training set.
32541893	PMC7326705	As the test context (including the location, population, scanner, personnel and environment) will inevitably differ to some degree from the training context (such as the population and environment of the sample used for model development), diagnostic accuracy invariably decreases when applying the biomarker in new contexts, and the greater the loss in accuracy across different contexts, the less generalizable the biomarker.
40764849	PMC12325499	If AI models are trained primarily on datasets from HICs, their diagnostic accuracy may drop when applied to genetically or demographically different populations.
33733221	PMC7861240	In our evaluation of the Shenzhen Hospital CXR dataset, the ensemble model provides the best diagnostic accuracy ranging from 94.59 to 98.46%, specificity from 95.57 to 100%, F1 score from 0.947 to 0.986, and AUC from 0.986 to 0.999 for the different training/validation ratios.
