PMID	PMCID	Sentences
41326714	PMC12808761	In this trial, nearly 16,000 hospitalized patients underwent routine ECG assessments, with the AI system generating real-time alerts for those developing high-risk patterns.
38989469	PMC11233914	The application of AI techniques such as machine learning allows the system to continuously process real-time data from various sources and identify early indicators of drought onset, severity, and end, as well as potential risks during a drought, which can then be used to generate alerts.
37896534	PMC10610981	An end-to-end system that combines UAVs, optical sensors, and automated image data analysis using machine learning methods can cover each step of the inspection process in an accurate and robust way and may provide real-time alerts to relevant stakeholders for possible faults along with their exact location.
40645997	PMC12254197	The Fig. 6 depicts the end-to-end system deployment, from the collection of real-time data to the generation of alerts.
36964279	PMC10491559	To this end, we investigated the real-life pattern of an in-hospital implemented CDSS, including (i) whether generated alerts were resolved; (ii) whether a recorded action by the pharmacist led to an improved number of resolved alerts; and (iii) description of the natural course of generated alerts, in particular of those in the non-intervention group, as these data are largely lacking in current studies.
35591279	PMC9100781	Furthermore, an ANN-based autoencoder was proposed in to generate end-to-end system optimization, which comprises a model-based solution and adaptive learning modules that can obtain important information in real-time scenarios.
35161750	PMC8839545	The Front-end Application is mainly responsible for the interactions with the Firebase database to acquire and show the real-time and historical data gathered through the Mobile Smart Monitoring Devices, and the history of the alerts generated in the whole system.
38370129	PMC10873158	The end-to-end system allows for models to be developed on several modalities, ranging from medical IoT data to medical images, and gives physicians the ability to monitor patient risk for diseases in real time.
33021486	PMC7576539	To further extend querying to support the customization of parsed results by end users, our cohort retrieval system has the following design principles: (1) the adoption of common data models to facilitate cohort retrieval using both structured and unstructured data for multi-institutional research, (2) the flexibility and ability to apply state-of-the-art information retrieval methods in the retrieval system, (3) the incorporation of relevance judgment for downstream machine learning-based cohort selection methods, and (4) the generation of semantic annotations during the indexing phrase to provide a real-time semantic search experience.
24744280	undefined	METHODS: We developed an automated real-time electronic alert system employing algorithms which combined internationally recognized criteria for AKI [Risk, Injury, Failure, Loss, End-stage kidney disease (RIFLE) and Acute Kidney Injury Network (AKIN)].
