PMID	PMCID	Sentences
28877241	PMC5587263	To the extent that non-external cause deaths are associated with-these extreme heat events, a prediction model can be developed to estimate an increase in non-external deaths given weather variables alone.
35726635	PMC9308701	As monthly mortality rates are more stable than daily estimates, a small numbers of deaths occurring after an extreme heat event may not cause significant variation in the monthly rate, which may underestimate the association between extreme heat days and mortality.
27081885	undefined	We estimated annual excess non-external-cause deaths associated with extreme heat events in New York City (NYC).
28877241	PMC5587263	In New York City, non-external cause deaths attributable to-extreme heat events have been estimated to be more than 10-fold greater in number than hyperthermia deaths.
22408596	PMC3290981	Extreme heat events are estimated to cause an average of 120 deaths in the City of Toronto alone per year, and it is predicted that heat-related premature deaths among the elderly could reach 144-447 per year in the Toronto-Niagara Region by the mid-2020s.
32180181	PMC7728955	In 2009, an extreme heat event in greater Vancouver caused an estimated 110 deaths (Kosatsky et al.); in 2010, another event in Montreal caused an estimated 106 deaths (Price et al.).
35325269	PMC9042982	We examined all-cause mortality for the period of 1985-2010, which reliably estimates excess deaths during extreme heat events (Kalkstein et al.; Hajat et al.).
35169667	PMC8835552	The most analogous extreme heat event in greater Vancouver occurred during the summer of 2009 and was associated with an estimated excess of 110 deaths in the region.
29649774	PMC5970988	Fourth, our estimate of deaths potentially averted by heat alerts does not allow us to capture the degree to which such lives are prolonged, a relevant question given the substantial literature on mortality displacement following extreme heat events.
27081885	undefined	The cumulative relative risk (CRR) of death associated with extreme heat events was estimated in a Poisson time-series model for each year using an unconstrained distributed lag for days 0-3 accommodating over dispersion, and adjusting for within-season trends and day of week.
