PMID	PMCID	Sentences
40760031	PMC12320306	Cloud-based GIS platforms, including Google Earth Engine, ArcGIS Online, and QGIS, have enabled interactive mapping and dashboard-based disease tracking, allowing policymakers to assess outbreak severity, evaluate intervention effectiveness, and allocate resources efficiently.
40679473	PMC12278475	Country-specific simulated results will be displayed on an interactive dashboard, allowing policymakers, other relevant stakeholders, and the public to explore the impact of policy scenarios in relevant settings and under alternative sets of assumptions.
39394566	PMC11475107	The possibility of having a dashboard in the future that allows policymakers to interact with the model and also considers the costs required for implementing different prevention scenarios could be a useful tool for deciding where to allocate resources.
35986041	PMC9391349	We additionally created an interactive dashboard with estimates of cancer hot spots via an online database, which may allow for researchers, community stakeholders, and policymakers to examine and utilize these granular and specific disparities when deciding resource allocation and identifying programs and interventions that aim to reduce the burden of excess cancer morbidity and mortality in disparate communities.
35989608	PMC9393556	Pybus summarized insights into the SARS-CoV-2 pandemic and other outbreaks from large scale phylogenetic analysis; and Emma Hodcroft presented the CoVariants dashboard, which allows interactive exploration of SARS-COV-2 variants of concern.
41350527	PMC12680671	Finally, we develop an interactive dashboard that allows users to explore individual storm simulations and the scenario-modified environmental drivers.
41350527	PMC12680671	To facilitate broader access and engagement, we have developed a web-based dashboard that allows for interactive exploration of the simulated storm data, enabling users to visualize the changing intensities of individual storms across both historical and projected future scenarios.
41565796	PMC12894855	Beyond risk quantification, the framework integrates modeling results into interactive dashboards and ranking tools that enable scenario exploration, resource allocation, and prioritization of interventions.
38792579	PMC11122160	The use of digital health technologies including interactive dashboards and geographical information systems (GIS) has benefitted immunization campaigns by providing access to real-time information to assist policymakers and stakeholders to capture emerging outbreaks and enhance surveillance performances of eradication programs.
35738153	PMC9192122	The app (boydorr.gla.ac.uk/BGD_Covid-19/CEEDS), which allows a user-friendly exploration and visualisation of how scenarios impact health outcomes and costs, proved to be an effective tool to support discussions with policymakers, as the timing and combination of interventions, along with uncertainties in parameters, including compliance, could be explored on the fly.
