PMID	PMCID	Sentences
41326714	PMC12808761	In this trial, nearly 16,000 hospitalized patients underwent routine ECG assessments, with the AI system generating real-time alerts for those developing high-risk patterns.
37896534	PMC10610981	An end-to-end system that combines UAVs, optical sensors, and automated image data analysis using machine learning methods can cover each step of the inspection process in an accurate and robust way and may provide real-time alerts to relevant stakeholders for possible faults along with their exact location.
38989469	PMC11233914	The application of AI techniques such as machine learning allows the system to continuously process real-time data from various sources and identify early indicators of drought onset, severity, and end, as well as potential risks during a drought, which can then be used to generate alerts.
35756388	PMC9080121	First, it is tested with data from patients hospitalized after the end of data collection for patients in the development set, to ascertain that COVID-HEART can accurately predict risk in real time for new patients in the face of rapidly changing clinical treatment guidelines.
28322712	PMC5367396	ARS, Agence Regionale de Sante (Regional Health Agency); BALYSES, Bacterial Real-Time Laboratory-Based Surveillance System; CDS, Centre de Sante (Health Center); CHG, Centre Hospitalier General (General Hospital Center); CHU, Centre Hospitalier Universitaire (Central University Hospital); CLIN, Comite de Lutte contre les Infections Nosocomiales (Committee for the Fight Against Nosocomial Infections); DGS, Direction Generale de la Sante (Directorate General for Health); EPIMIC, Epidemiologic Surveillance and Alert Based on Microbiological Data; IHU/AP-HM, Institut Hospitalo-Universitaire/Assistance Publique-Hopitaux de Marseille; INVS, Institut Nationale de Veille Sanitaire (National Institute for Public Health Surveillance); LABM, Laboratoire de Biologie Medicale (Medical Laboratory); MARSS, Marseille Antibiotic Resistance Surveillance System; PACASurvE, Provence Alpes Cote d'Azur Surveillance Epidemiologic System.
41086159	PMC12520378	In addition, the current gait metrics could be particularly valuable when used in machine learning models to classify altered gait patterns and detect increased risk in real time using wearable sensors, thereby guiding the design of gait-monitoring and fall-alert systems.
41257846	PMC12628954	In addition, by optimizing low latency transmission protocols and exploring end-to-end inference techniques, processing latency can be reduced to millisecond level, laying the foundation for real-time feedback systems (such as instantly alerting for footwork errors during training) or referee systems (quickly providing data references when fouls occur).
40645997	PMC12254197	The Fig. 6 depicts the end-to-end system deployment, from the collection of real-time data to the generation of alerts.
35854231	PMC9296108	Open-ended responses to this question were grouped into five categories reflecting similar themes: 1) provincial coordination and alignment with sectors to address overdose and determinants of health issues; 2) data and surveillance including early warning, alert communication, and real-time provincial data collection systems involving all community partners; 3) professional development opportunities for staff involved in local overdose-related work; 4) equity considerations to plan for and meet the access needs of diverse communities including Indigenous peoples; and 5) policy and funding supports for overall implementation of community overdose response plans as well as to scale up key harm reduction and treatment services.
40330769	PMC12052519	Real-time stroke risk prediction models can be integrated into hospital systems or mobile health apps to instantly analyze patient data, alert clinicians to high-risk individuals, and support timely medical intervention, especially in emergency or remote settings.
