PMID	PMCID	Sentences
41294730	PMC12649981	Based on these limitations, future work will focus on the following directions: model lightweighting through developing more efficient architectures or pruning strategies to reduce computational costs while maintaining classification performance; multi-modal fusion, integrating complementary information from different imaging modalities (e.g., immunohistochemistry, radiology) and other relevant data to enhance robustness and diagnostic accuracy; cross-dataset transfer learning, leveraging multiple datasets to improve generalization across diverse populations, imaging devices, and conditions; incorporation of clinical metadata, combining patient demographics, history, and biomarker information for more comprehensive diagnostic decision support; and explainability enhancement, further refining interpretability mechanisms (including planned exploration of SHAP or similar methods) to provide transparent and clinically actionable insights from model predictions.
37682418	PMC10692014	Although the automated analysis of IVC and RAP has been explored, current methods (1) are applied directly to a manually pre-selected video or single-frame image from the echo video containing the IVC view; (2) have large and complex models that limit the usage on hand-held devices; and, (3) are designed for a "closed-world" environment where the training data is fixed with no opportunity for the AI to learn new knowledge, which limits their usability and generalizability in real-world clinical settings.
38443092	PMC11146397	Other applications of AI in SLE including drug discovery, clinical trial design and interpretation, diagnostic imaging analysis, personalised medicine and medical devices and technologies are just beginning.
38443092	PMC11146397	Other applications of AI in SLE including drug discovery, clinical trial design and interpretation, diagnostic imaging analysis, personalised medicine and medical devices and technologies are just beginning.
41374451	undefined	We aim to synthesize studies that explicitly compare AI-based diagnostic models with clinical tests employed by ophthalmologists, examine results obtained using similar imaging modalities, and identify recurring limitations to propose recommendations for future work.
36710976	PMC9878329	Additional limitations of the present post hoc analysis are derived from the original FLAAG clinical trial's design which was to evaluate trial primary outcomes of imaging device diagnostic accuracy, and not to compare microbiological results between biopsy locations.
41083454	PMC12518662	The following data were extracted from each included studies: author name and year of publication, study design (in-vivo/in-vitro), sample size and characteristics (deciduous/permanent, maxillary/mandibular), participant details, teeth surface, intra oral imaging devices (type/brand), caries scoring system, comparison method, reference standard, diagnostic matrics, clinical significance, clinician's or observers calibration and training in carious lesion evaluation, blinding of observers, inter and intra-rater reliability (if reported), device variabilities, confounding factors and study limitations.
40776439	PMC12683225	Our work not only decouples the influence of gate materials and measurement conditions on device performance but also establishes a foundational framework for designing high-precision bilirubin sensors, paving the way for transformative diagnostic devices that address critical gaps in neonatal care through miniaturized, low-power platforms capable of real-time bilirubin monitoring in both clinical and resource-limited settings.
36148470	PMC9485996	Demonstrably, field work presents various challenges that complicate clinical research, among which we highlight: the need for capture of non-contained individuals, distance from sites with basic infrastructure such as electricity, running and drinking water, refrigeration, and freezing, limited communication and/or data and internet access, partial or total lack of diagnostic equipment, and insufficient personnel.
39260855	PMC11409362	These AI systems, classified as software as medical devices, are designed to support diagnostic decision-making using clinical RWD, particularly imaging data generated by medical devices, leveraging AI technology to perform functions independently of hardware medical devices.
