PMID	PMCID	Sentences
34417121	PMC8294600	We highlight ways in which models continue to provide important insights, including (1) calculating the herd immunity threshold and evaluating its limitations; (2) verifying that nascent vaccines can prevent severe disease, infection, and transmission but may be less efficacious against VoC; (3) determining optimal vaccine allocation strategies under efficacy and supply constraints; and (4) determining that VoC are more transmissible and lethal than previously circulating strains, and that immune escape may jeopardize vaccine-induced herd immunity.
24161462	PMC3947060	Identifying optimal vaccine allocation strategies is an important factor for disease control, especially when resources are limited.
32995816	PMC7523157	For further sensitivity analysis, as shown in Fig. 5, we assessed how optimal vaccine allocation policy changed along a gradient for four key model inputs: non-social distancing NPI effectiveness (e.g. mask wearing) which determines the initial reproductive number (when the vaccine first becomes available); initial infections; monthly rate of vaccine supply; and vaccine effectiveness.
36442881	PMC9828961	Our study aimed to provide fundamental and generalizable findings using a broad sensitivity analysis to identify conditions that can shape optimal short-term vaccine allocation with a limited supply.
40720542	PMC12316399	While our study sheds light on optimal vaccine allocation for RVF control in the Comoros archipelago, some limitations in the modelling approach are important to consider.
38370625	PMC10871372	In the context of an existing, but limited, vaccine program, an open question in optimal vaccine allocations is how to most effectively use an expanding vaccine supply.
39359394	PMC11443550	In the context of an existing, but limited, vaccine program, an open question in optimal vaccine allocations is how to most effectively use an expanding vaccine supply.
34696352	PMC8539635	It is similarly challenging to optimize vaccine allocation to different sectors of the population, particularly when vaccine supply is limited.
40594174	PMC12218410	Thirdly, the optimization problem of vaccine allocation under limited vaccine supply is formulated, and the optimal vaccine allocation is obtained through numerical simulations.
36442881	PMC9828961	Given that many jurisdictions have been faced with limited supplies of MPXV vaccine, we aimed to explore optimal vaccine allocation between 2 linked GBMSM transmission networks over a short-term time horizon, across several epidemic conditions.
