PMID	PMCID	Sentences
39972741	undefined	By linking transmission dynamics and behavior, this class of models can capture the interplay of disease incidence, behavioral response, and controls such as vaccination.
22312204	PMC3270909	Data from Hong Kong indicate that rates of seasonal influenza vaccination have increased since SARS and H5N1 and vaccination uptake behavior was linked to higher perceived likelihood of a large local outbreak of H5N1 in the future and perceptions that any future outbreak would be worse than SARS had been.
33060093	PMC7565247	We comprehensively assessed the epidemiological characteristics and transmission dynamics of the COVID-19 and SARS outbreak in mainland China to provide clues to control the ongoing COVID-19 pandemic worldwide.
41148638	PMC12564786	Zheng et al. assessed the effect of diagnostic interventions and ring vaccination on the transmission dynamics of the 2022 mpox outbreak in 44 states in the US.
33078063	PMC7556592	For example, in 2009, Pang et al. considered dynamical behavior of a Hepatitis B virus transmission model with vaccination, and Zou et al. discussed modeling the transmission dynamics and control of Hepatitis B virus in China.
30736362	PMC6410127	In this review, we have sought to review the history of the RVF disease, the previous outbreaks in Egypt, transmission dynamics, disease in humans and animals, epidemiological risk factors related to the introduction and spread of RVF in Egypt, surveillance for RVF, employment of vaccines against RVFV infection, and the role of One Health approach in the prevention and control of RVF.
29335021	PMC5769361	Future larger-scale studies should be conducted, as the findings have implications for enumerating disease burden, hypothesizing effects on DENV vaccine efficacy and uptake, determining disease severity and transmission dynamics, and identifying high-risk areas to target dengue prevention and control activities.
40312760	PMC12046743	Because the study period spanned the COVID-19 pandemic, which impacted childhood vaccine uptake, behavioral patterns affecting respiratory disease transmission, and conflict, the observational methods in this study are limited in their ability to assess the relative importance of each and whether any are causally related to diphtheria emergence.
37745209	PMC10511766	The majority of primary objectives were to assess control strategies in a multihost population (26), estimate transmission risk to livestock from wildlife (9), or explain observed transmission dynamics while considering the effects of multiple hosts (8), though estimating transmission parameters (4), determining consequences of hypothetical outbreak scenarios (4), nowcasting of multihost epidemics (3), and comparing the impact of model assumptions on transmission in a multihost environment (1) were also represented (Supplementary Table S2).
36699387	PMC9710666	Coupling of genomics and metadata in this manner allows infection controls teams to rapidly assess transmission dynamics, identify putative outbreaks and target these outbreaks prior to them becoming established.
