PMID	PMCID	Sentences
36686726	PMC9849680	In a later study, Hollon's team enhanced the SRH technique with fiber optic laser imaging in 35 patients with recurrent glioma, after which the resulting SRH images were trained using a CNN, and finally, the trained model was applied to a retrospective cohort to score a diagnostic accuracy of 95.8% ( Figure 3 ).
40189494	PMC11974213	In Test_2, which comprised data from different hospitals, the model maintained consistent diagnostic accuracy with an F1 Score of 0.720, indicating robust generalization across diverse datasets.
33733221	PMC7861240	In our evaluation of the Shenzhen Hospital CXR dataset, the ensemble model provides the best diagnostic accuracy ranging from 94.59 to 98.46%, specificity from 95.57 to 100%, F1 score from 0.947 to 0.986, and AUC from 0.986 to 0.999 for the different training/validation ratios.
38166702	PMC10759351	For example, previous studies showed that the AI models constructed by NLP had similar diagnostic accuracy for common pediatric diseases compared with an experienced pediatrician and have been applied to detect postoperative complications in hospitalized patients, screen for various types of drug abuse, identify the symptoms in maintenance hemodialysis patients and predict serious adverse events during maternal delivery.
40155680	PMC11953426	Here, key developments like applying pre-trained models, fine-tuning techniques, and an ensemble learning approach are used to improve diagnostic accuracy.
41294730	PMC12649981	Based on these limitations, future work will focus on the following directions: model lightweighting through developing more efficient architectures or pruning strategies to reduce computational costs while maintaining classification performance; multi-modal fusion, integrating complementary information from different imaging modalities (e.g., immunohistochemistry, radiology) and other relevant data to enhance robustness and diagnostic accuracy; cross-dataset transfer learning, leveraging multiple datasets to improve generalization across diverse populations, imaging devices, and conditions; incorporation of clinical metadata, combining patient demographics, history, and biomarker information for more comprehensive diagnostic decision support; and explainability enhancement, further refining interpretability mechanisms (including planned exploration of SHAP or similar methods) to provide transparent and clinically actionable insights from model predictions.
39452568	PMC11508556	A key finding is that their DL model maintained high diagnostic accuracy even when trained and tested on images from different OCT scanners, highlighting its robustness across various imaging devices.
40764962	PMC12326809	Santos et al. developed PathologyBERT, a model tailored for analyzing pathology reports from Emory University Hospital, which achieves promising diagnostic accuracy in breast cancer classification using 347,173 reports for training, validation, and testing.
40104157	PMC11919318	For example, an AI model trained predominantly on data from a specific demographic may underperform when applied to a broader, more diverse population, potentially resulting in disparities in diagnostic accuracy and healthcare outcomes.
41699156	undefined	In this study, by optimizing a model from the ResNet family and applying architectural modifications, including the addition of specialized layers, an efficient system was designed that simultaneously reduced computational parameters, decreased training time, and increased inference speed, while improving diagnostic accuracy up to 99.69%.
