PMID	PMCID	Sentences
33859222	PMC8050058	Due to the exponential growth in cases, it is required to develop a automated and fast paced system which can identify COVID-19 from chest CT-scans or CXR images.
39877399	PMC11773193	For example, central nervous system (CNS) imaging in JC virus infection and posttransplant lymphoproliferative disease can appear identical, and chest computed tomography scans cannot identify whether lung nodules are caused by fungi, Nocardia, Mycobacteria, or malignancies.
38116305	PMC10728308	Although computer-aided diagnosis systems (CADs) have been used to assist radiologists in reading chest X-ray scans, automated identification of benign and malignant nodules on chest X-rays remains problematic for at least two reasons: the difficulty of lung nodule delineation due to a wide range of shape and texture variations and the visual similarities shared by malignant and benign nodules.
33934177	PMC8088310	We performed an analysis based on clinically interpretable severity metrics computed from automated segmentation of abnormal regions in a chest CT scan, as well as using a deep learning system.
38846171	PMC11151128	The authors are also still in the process of completing imaging work of the proband's lungs to include a chest CT scan and infectious respiratory panels to identify pathogens.
33286289	PMC7517011	The development of an automated system for classification of CT scans of the lung remains challenging due to the complexity of diagnosing infectious and inflammatory lung diseases in a visual examination.
25426446	PMC4226142	The American Thoracic Society (ATS) and the Infectious Diseases Society of America (IDSA) diagnostic criteria for NTM pulmonary disease include (1) clinical: presence of clinical manifestations of pulmonary involvement, presence of underlying medical condition such as cancer or tuberculosis and appropriate exclusion of other diagnoses, (2) radiological: presence of pulmonary infiltration, nodular lung lesions, cavity formation or multifocal bronchiectasis on chest X-ray or high-resolution CAT scan, and (3) bacteriological: >=2 positive cultures from expectorated sputum or >=1 positive BAL or bronchial wash cultures or transbronchial or open lung biopsy showing histological evidence of granulomatous inflammation or AFB and positive NTM cultures or biopsy showing mycobacterial histological features and positive cultures for NTM from >=1 sputum or bronchial washings.
35572043	PMC9080056	Lung recognition system is used to identify covid infected lungs and normal/healthy/non-covid lungs from the Chest CT scan image as input.
38144948	PMC10739115	Several tests are recommended in addition to diagnostic right heart catheterization, including ventilation and perfusion lung scans, high-resolution chest computed tomography, pulmonary function tests, and infectious and immunologic tests, to identify potential etiologies of PH.
36472867	PMC10005467	Interpretations of the chest computed tomography scans were based on a computer-aided diagnosis system for lung nodules (Visia , MeVis Medical Solutions AG, Bremen, Germany), including semi-automated segmentation and measurement of the nodules (the diameter of the nodules was automatically measured by automatic segmentation).
