PMID	PMCID	Sentences
27081885	undefined	Average excess non-external-cause deaths associated with extreme heat events were nearly 11-fold greater than hyperthermia deaths.
39886695	PMC11780725	Each year, extreme heat events cause numerous excess deaths, particularly during the summer season, worldwide.
34419205	undefined	Extreme heat events are becoming permanent features of summer seasons worldwide, causing many excess deaths.
27634779	PMC5027848	Extreme heat events affect the most vulnerable human populations and are a lethal health hazard to urban dwellers globally; in the United States, extreme heat causes more deaths annually than all other weather events and natural hazards combined.
35169667	PMC8835552	The most analogous extreme heat event in greater Vancouver occurred during the summer of 2009 and was associated with an estimated excess of 110 deaths in the region.
41611746	PMC12859097	These extreme heat events have caused significant loss of human life, with about 3000 deaths in 1998, over 2000 in 2002, and more than 2400 in 2015.
24658410	PMC3987036	Motivating this research are high numbers of deaths during extreme heat events and projected increases in deaths from heat-related causes due to climate change.
40966263	PMC12445497	Recent extreme heat events, such as the 2022 and 2023 European heatwaves have caused thousands of excess deaths.
31945081	PMC6964900	A natural follow-on to this research would be to evaluate potential methods to improve spatial delineation of risk from extreme heat events in urban environments by integrating socio-demographic risk factors with LST estimates derived from thermal remote sensing data.
23164621	PMC3569676	Global climate models predict higher temperatures and more frequent, longer, and more intense extreme heat events over most of the world, and this has greatly increased estimates of future deaths due to heat.
