PMID	PMCID	Sentences
36160059	PMC9466611	"This trial demonstrates that for RAS wild-type and left-sided metastatic colorectal cancer, the choice of the initial biologic with chemotherapy does matter and that initial treatment with panitumumab with FOLFOX [fluorouracil, leucovorin, oxaliplatin] chemotherapy is superior to initial treatment with bevacizumab plus FOLFOX chemotherapy."
36160059	PMC9466611	The preferred targeted therapy for left-sided RAS wild-type metastatic colorectal cancer, in combination with standard chemotherapy, is panitumumab, not bevacizumab, based on a head-to-head comparison in the phase III PARADIGM trial.
39587053	PMC11589592	A pooled retrospective analysis of data from 6 clinical trials showed a significant benefit with chemotherapy plus EGFR therapy compared to bevacizumab on overall survival (OS) in metastatic colorectal cancer (mCRC) patients with RAS wild-type and left-sided tumors.
29873679	undefined	Conclusions: FOLFOXIRI plus bevacizumab may be regarded as a preferred first-line treatment option for clinically selected patients with right-sided metastatic colorectal cancer irrespective of their RAS and BRAF mutational status.
34012917	PMC8127841	We aimed to compare the economic value of chemotherapy plus anti-epidermal growth factor receptor (anti-EGFR) monoclonal antibody (mAb) against chemotherapy with bevacizumab (Bev, an anti-vascular endothelial growth factor mAb) as first-line treatment in KRAS wild-type (WT), pan-RAS WT and pan-RAS WT left-sided metastatic colorectal cancer (mCRC) patients from the Hong Kong societal perspective.
34380594	undefined	BACKGROUND: Doublets plus antiepidermal growth factor receptors monoclonal antibodies (EGFRi) are widely considered the preferable first-line regimen in patients with left-sided RAS/BRAF wild-type metastatic colorectal cancer (mCRC), resulting superior in terms of activity and efficacy compared to doublets plus bevacizumab.
38170586	PMC10940852	Sidedness is also predictive of anti-EGFR therapy benefit in the first-line treatment for patients with RAS/BRAF wild-type (WT) left-sided metastatic colorectal cancer (mCRC) whereas patients with right-sided RAS/BRAF WT mCRC should preferentially receive chemotherapy plus bevacizumab.
38090057	PMC10686183	This clinical study primarily presented the results of patients with left-sided and wild-type RAS/BRAFV600E tumors who were randomized to be treated with chemotherapy plus either bevacizumab (arm A) or panitumumab (arm B), with a median follow-up of 44 months.
34380594	undefined	Clinicians' Attitude to Doublet Plus Anti-EGFR Versus Triplet Plus Bevacizumab as First-line Treatment in Left-Sided RAS and BRAF Wild-Type Metastatic Colorectal Cancer Patients: A Multicenter, "Real-Life", Case-Control Study.
32107929	PMC7053788	BACKGROUND: The FIRE-3 phase III clinical trial demonstrated the marked advantage of prolonging the median overall survival of patients with final RAS wild-type (WT) left-sided metastatic colorectal cancer (mCRC) by 38.3 months after treatment with irinotecan, fluorouracil, and leucovorin (FOLFIRI) plus cetuximab and by 28.0 months after treatment with FOLFIRI plus bevacizumab.
